athleteId,season,sport,event,date,dist,seconds,place,grade,meetId
879,2004,xc,,2004-11-06,5000,1027,66,12,4475
886,2004,xc,,2004-11-06,5000,1024,60,11,4475
987,2004,xc,,2004-11-06,5000,1260,86,11,4475
862,2004,xc,,2004-11-06,5000,1281,102,12,4475
14433,2004,xc,,2004-11-06,5000,1219,45,9,4475
960,2004,xc,,2004-11-06,5000,1192,24,10,4475
860,2004,xc,,2004-11-06,5000,1373,139,11,4475
16235,2004,xc,,2004-11-06,5000,1149,10,9,4475
22877,2004,xc,,2004-11-06,5000,1284,104,9,4475
22936,2005,xc,,2005-09-07,5000,1089,13,10,56
22936,2005,xc,,2005-10-05,5000,1054,1,10,114
22936,2005,xc,,2005-10-12,5000,1059,1,10,115
22936,2005,xc,,2005-10-15,5000,1049.2,46,10,28
22936,2005,xc,,2005-10-19,5000,1064,,10,116
22936,2005,xc,,2005-10-27,5000,1088,33,10,117
23259,2005,xc,,2005-09-07,5000,1149,26,12,56
23259,2005,xc,,2005-09-17,5000,1062.8,42,12,24
23259,2005,xc,,2005-09-21,5000,1128,17,12,113
23259,2005,xc,,2005-09-24,5000,1080,26,12,15
23259,2005,xc,,2005-10-05,5000,1101,,12,114
23259,2005,xc,,2005-10-12,5000,1107,8,12,115
23259,2005,xc,,2005-10-15,5000,1086.8,94,12,28
23259,2005,xc,,2005-10-27,5000,1112,9,12,117
935,2005,xc,,2005-09-07,5000,1132,22,12,56
935,2005,xc,,2005-09-17,5000,1069.4,46,12,24
935,2005,xc,,2005-09-21,5000,1122,15,12,113
935,2005,xc,,2005-09-24,5000,1098,34,12,15
935,2005,xc,,2005-10-05,5000,1069,,12,114
935,2005,xc,,2005-10-12,5000,1101,7,12,115
935,2005,xc,,2005-10-15,5000,1081.9,85,12,28
935,2005,xc,,2005-10-19,5000,1084,,12,116
935,2005,xc,,2005-10-27,5000,1078,31,12,117
22937,2005,xc,,2005-09-07,5000,1434,54,10,56
22937,2005,xc,,2005-09-17,5000,1246,105,10,24
22937,2005,xc,,2005-09-21,5000,1358,33,10,113
22937,2005,xc,,2005-09-24,5000,1340,168,10,15
22937,2005,xc,,2005-10-05,5000,1249,,10,114
22937,2005,xc,,2005-10-12,5000,1252,,10,115
22937,2005,xc,,2005-10-15,5000,1312,,10,28
22937,2005,xc,,2005-10-19,5000,1308,,10,116
22937,2005,xc,,2005-10-27,5000,1256,69,10,117
22938,2005,xc,,2005-09-07,5000,1175,5,9,56
22938,2005,xc,,2005-09-17,5000,1051,1,9,24
22938,2005,xc,,2005-09-21,5000,1221,22,9,113
883,2005,xc,,2005-09-07,5000,1297,27,12,56
883,2005,xc,,2005-09-17,5000,1183,52,12,24
883,2005,xc,,2005-09-21,5000,1179,3,12,113
883,2005,xc,,2005-09-24,5000,1217,83,12,15
883,2005,xc,,2005-10-05,5000,1156,7,12,114
883,2005,xc,,2005-10-27,5000,1189,44,12,117
1014,2005,xc,,2005-09-07,5000,1355,40,11,56
1014,2005,xc,,2005-09-17,5000,1178,52,11,24
1014,2005,xc,,2005-09-21,5000,1243,10,11,113
1014,2005,xc,,2005-10-05,5000,1142,5,11,114
1014,2005,xc,,2005-10-12,5000,1141,,11,115
1014,2005,xc,,2005-10-27,5000,1179,36,11,117
14352,2005,xc,,2005-09-07,5000,1388,44,12,56
14352,2005,xc,,2005-09-17,5000,1241,98,12,24
14352,2005,xc,,2005-09-21,5000,1351,32,12,113
14352,2005,xc,,2005-09-24,5000,1335,165,12,15
14352,2005,xc,,2005-10-12,5000,1308,,12,115
14352,2005,xc,,2005-10-15,5000,1261,,12,28
14352,2005,xc,,2005-10-27,5000,1239,63,12,117
891,2005,xc,,2005-09-07,5000,1246,18,12,56
891,2005,xc,,2005-09-17,5000,1176,49,12,24
891,2005,xc,,2005-09-21,5000,1200,9,12,113
891,2005,xc,,2005-09-24,5000,1222,86,12,15
891,2005,xc,,2005-10-05,5000,1201,,12,114
891,2005,xc,,2005-10-19,5000,1253,,12,116
891,2005,xc,,2005-10-27,5000,1236,61,12,117
22939,2005,xc,,2005-09-07,5000,1264,23,10,56
22939,2005,xc,,2005-09-17,5000,1177,50,10,24
22939,2005,xc,,2005-09-21,5000,1192,5,10,113
22939,2005,xc,,2005-09-24,5000,1200,71,10,15
22939,2005,xc,,2005-10-05,5000,1177,,10,114
22939,2005,xc,,2005-10-12,5000,1212,,10,115
22939,2005,xc,,2005-10-15,5000,1155,,10,28
22939,2005,xc,,2005-10-19,5000,1162,,10,116
22939,2005,xc,,2005-10-27,5000,1192,45,10,117
14353,2005,xc,,2005-09-07,3000,779,5,12,56
14353,2005,xc,,2005-09-17,5000,1248,107,12,24
14353,2005,xc,,2005-09-21,5000,1445,37,12,113
14353,2005,xc,,2005-10-05,5000,1400,,12,114
22940,2005,xc,,2005-09-07,3000,771,3,9,56
22940,2005,xc,,2005-09-17,5000,1317,145,9,24
22940,2005,xc,,2005-09-21,5000,1251,13,9,113
22940,2005,xc,,2005-09-24,5000,1262,121,9,15
22940,2005,xc,,2005-10-05,5000,1182,,9,114
22940,2005,xc,,2005-10-12,5000,1152,,9,115
22940,2005,xc,,2005-10-15,5000,1141,,9,28
22940,2005,xc,,2005-10-19,5000,1171,,9,116
22940,2005,xc,,2005-10-27,5000,1164,28,9,117
23260,2005,xc,,2005-09-07,3000,799,8,10,56
23260,2005,xc,,2005-09-17,5000,1245,103,10,24
23260,2005,xc,,2005-09-21,5000,1308,21,10,113
23260,2005,xc,,2005-09-24,5000,1283,137,10,15
23260,2005,xc,,2005-10-05,5000,1210,,10,114
23260,2005,xc,,2005-10-12,5000,1253,,10,115
23260,2005,xc,,2005-10-19,5000,1227,,10,116
23260,2005,xc,,2005-10-27,5000,1220,57,10,117
886,2005,xc,,2005-09-07,5000,1022,3,12,56
886,2005,xc,,2005-09-17,5000,977,3,12,24
886,2005,xc,,2005-09-21,5000,1006,1,12,113
886,2005,xc,,2005-09-24,5000,1013,1,12,15
886,2005,xc,,2005-10-05,5000,972,2,12,114
886,2005,xc,,2005-10-12,5000,1082,3,12,115
886,2005,xc,,2005-10-15,5000,1016.5,25,12,28
886,2005,xc,,2005-10-19,5000,1012,1,12,116
886,2005,xc,,2005-10-27,5000,993,2,12,117
886,2005,xc,,2005-11-05,5000,1025,35,12,3
1018,2005,xc,,2005-09-07,5000,1406,51,11,56
1018,2005,xc,,2005-09-17,5000,1214,83,11,24
1018,2005,xc,,2005-09-21,5000,1250,11,11,113
1018,2005,xc,,2005-09-24,5000,1274,133,11,15
1018,2005,xc,,2005-10-05,5000,1259,,11,114
1018,2005,xc,,2005-10-12,5000,1227,,11,115
1018,2005,xc,,2005-10-15,5000,1227,,11,28
1018,2005,xc,,2005-10-27,5000,1224,58,11,117
14340,2005,xc,,2005-09-07,5000,1178,32,10,56
14340,2005,xc,,2005-09-17,5000,1124,19,10,24
14340,2005,xc,,2005-09-21,5000,1159,2,10,113
14340,2005,xc,,2005-09-24,5000,1144,44,10,15
14340,2005,xc,,2005-10-05,5000,1081,,10,114
14340,2005,xc,,2005-10-12,5000,1109,9,10,115
14340,2005,xc,,2005-10-15,5000,1112.1,117,10,28
14340,2005,xc,,2005-10-19,5000,1101,,10,116
14340,2005,xc,,2005-10-27,5000,1100,40,10,117
22941,2005,xc,,2005-09-07,3000,848,14,,56
22941,2005,xc,,2005-09-17,5000,1490,199,,24
22941,2005,xc,,2005-09-21,5000,1496,38,,113
22942,2005,xc,,2005-09-07,5000,1188,8,11,56
22942,2005,xc,,2005-09-17,5000,1108.3,74,11,24
22942,2005,xc,,2005-09-21,5000,1146,1,11,113
22942,2005,xc,,2005-09-24,5000,1129,56,11,15
22942,2005,xc,,2005-10-05,5000,1106,3,11,114
22942,2005,xc,,2005-10-12,5000,1135,,11,115
22942,2005,xc,,2005-10-15,5000,1109,,11,28
22942,2005,xc,,2005-10-19,5000,1129,,11,116
22942,2005,xc,,2005-10-27,5000,1119,13,11,117
953,2005,xc,,2005-09-07,5000,1412,53,11,56
953,2005,xc,,2005-09-17,5000,1253,113,11,24
953,2005,xc,,2005-09-21,5000,1350,31,11,113
953,2005,xc,,2005-10-12,5000,1302,,11,115
953,2005,xc,,2005-10-19,5000,1391,,11,116
953,2005,xc,,2005-10-27,5000,1308,88,11,117
22943,2005,xc,,2005-09-07,5000,1342,38,10,56
22943,2005,xc,,2005-09-17,5000,1223,89,10,24
22943,2005,xc,,2005-09-21,5000,1295,19,10,113
22943,2005,xc,,2005-09-24,5000,1293,141,10,15
22943,2005,xc,,2005-10-05,5000,1286,,10,114
22943,2005,xc,,2005-10-12,5000,1290,,10,115
22943,2005,xc,,2005-10-15,5000,1268,,10,28
22943,2005,xc,,2005-10-27,5000,1283,81,10,117
22944,2005,xc,,2005-09-07,5000,1129,21,11,56
22944,2005,xc,,2005-09-17,5000,1075.6,50,11,24
22944,2005,xc,,2005-09-21,5000,1089,6,11,113
22944,2005,xc,,2005-09-24,5000,1103,38,11,15
22944,2005,xc,,2005-10-05,5000,1079,,11,114
22944,2005,xc,,2005-10-12,5000,1060,2,11,115
22944,2005,xc,,2005-10-15,5000,1078.4,81,11,28
22944,2005,xc,,2005-10-19,5000,1092,,11,116
22944,2005,xc,,2005-10-27,5000,1116,47,11,117
22945,2005,xc,,2005-09-07,5000,1159,2,9,56
22945,2005,xc,,2005-09-17,5000,1077,4,9,24
